year,species_code,comp_type,iss_length,region
1999,10130,total,2327.8600825807307,bs_shelf
1999,10210,female,2506.8911920694804,bs_shelf
1999,10210,male,1630.1422129736018,bs_shelf
1999,10210,total,3078.326192643097,bs_shelf
1999,10261,female,2410.849424784022,bs_shelf
1999,10261,male,1343.790908049773,bs_shelf
1999,10261,total,2374.03138213048,bs_shelf
1999,10285,female,1810.728211046022,bs_shelf
1999,10285,male,2001.57941306989,bs_shelf
1999,10285,total,3500.9491729941465,bs_shelf
1999,21720,female,1243.24678056532,bs_shelf
1999,21720,male,1315.9926941187186,bs_shelf
1999,21720,total,2077.8730212504447,bs_shelf
1999,21740,female,1314.985028608866,bs_shelf
1999,21740,male,1201.8112806829272,bs_shelf
1999,21740,total,1705.900898031232,bs_shelf
2000,10110,female,977.3456162927775,bs_shelf
2000,10110,male,535.0766042334136,bs_shelf
2000,10110,total,1180.622259754417,bs_shelf
2000,10112,female,157.26308671153956,bs_shelf
2000,10112,male,167.32255909610998,bs_shelf
2000,10112,total,266.7906542330024,bs_shelf
2000,10115,female,54.97545241512849,bs_shelf
2000,10115,male,61.73394557035457,bs_shelf
2000,10115,total,125.69500583866396,bs_shelf
2000,10130,female,1588.1568419988944,bs_shelf
2000,10130,male,1334.1857274533136,bs_shelf
2000,10130,total,2138.0086196816083,bs_shelf
2000,10210,female,2047.940119494445,bs_shelf
2000,10210,male,1598.5000090514002,bs_shelf
2000,10210,total,2745.0356157771057,bs_shelf
2000,10261,female,622.6969039990319,bs_shelf
2000,10261,male,1777.2083457613603,bs_shelf
2000,10261,total,1062.0327220016857,bs_shelf
2000,10285,female,1026.7767294327637,bs_shelf
2000,10285,male,548.2235505485488,bs_shelf
2000,10285,total,1097.5860207585151,bs_shelf
2000,21720,female,1020.2209225830404,bs_shelf
2000,21720,male,1186.710926015385,bs_shelf
2000,21720,total,1395.5568305815532,bs_shelf
2000,21740,female,919.3706311936172,bs_shelf
2000,21740,male,899.604641383779,bs_shelf
2000,21740,total,1173.9808105628535,bs_shelf
2001,10110,female,1212.375889099088,bs_shelf
